title;count;url;timestamp
"Radio CICAP presenta: Piero Angela e il suo ""Viaggio nel paranormale""";1262;https://www.youtube.com/watch?v=uNjg7quNRjY;09-Oct-2020 22:50
"Radio CICAP presenta: ""Il dilemma di Batman""";1222;https://www.youtube.com/watch?v=6rsqg8NWk4g;09-Oct-2020 22:50
"Radio CICAP presenta: ""Fotografia paranormale""";847;https://www.youtube.com/watch?v=GfEnq6IyR8k;09-Oct-2020 22:50
"Radio CICAP presenta: ""Il trucco c'e' """;948;https://www.youtube.com/watch?v=PKeyPx724tc;09-Oct-2020 22:50
"Radio CICAP presenta: ""Scettici europei e dove trovarli""";638;https://www.youtube.com/watch?v=AERFetrICrk;09-Oct-2020 22:50
"Radio CICAP presenta: ""Hai detto fantascienza?""";868;https://www.youtube.com/watch?v=InoyBlESjuw;09-Oct-2020 22:50
"Radio CICAP presenta:  ""I misteri del mare""";828;https://www.youtube.com/watch?v=5I9LtmUgSYk;09-Oct-2020 22:50
"Radio CICAP presenta: ""Torna il CICAP-Fest""";320;https://www.youtube.com/watch?v=inCdvUpWIqE;09-Oct-2020 22:50
"Radio CICAP - Quinta puntata: ""L'omicidio Kennedy""";1061;https://www.youtube.com/watch?v=vqQtWsr_tNo;09-Oct-2020 22:50
"Radio CICAP - Quarta puntata: ""Doctor Who""";784;https://www.youtube.com/watch?v=4Q0wYYbRmwM;09-Oct-2020 22:50
"Radio CICAP presenta: ""Il CICAP""";1062;https://www.youtube.com/watch?v=O3549SHRhJ0;09-Oct-2020 22:50
"Radio CICAP - Seconda puntata:  ""Buona Apocalisse a tutti""";1182;https://www.youtube.com/watch?v=JaKri4MrRh8;09-Oct-2020 22:50
"Radio CICAP - Prima puntata: ""Streghe e Astri""";2377;https://www.youtube.com/watch?v=o4CTC9rZqGc;09-Oct-2020 22:50
